City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,nchelenge,-9.3451,28.734,16.22,58,14,2.96,ZM,1690259523
195,pandan,14.0453,124.1694,28.33,83,100,10.74,PH,1690259523
196,iskateley,67.6803,53.1512,18.33,72,61,4.57,RU,1690258953
197,port douglas,-16.4833,145.4667,19.93,71,93,3.96,AU,1690259524
198,piacabucu,-10.4056,-36.4344,22.31,81,2,1.29,BR,1690259524
199,ouro preto do oeste,-10.7481,-62.2158,22.11,47,4,0.64,BR,1690259524
200,mugumu,-1.85,34.7,19.18,60,52,1.34,TZ,1690259524
201,arteche,12.2645,125.4048,29.96,70,100,7.64,PH,1690258936
202,pisco,-13.7,-76.2167,17.23,88,1,2.57,PE,1690259009
203,puerto deseado,-47.7503,-65.8938,5.25,84,100,9.74,AR,1690258892
204,quellon,-43.1167,-73.6167,9.14,93,100,6.17,CL,1690259025
205,santana,-0.0583,-51.1817,26.1,94,0,1.54,BR,1690258843
206,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.0,GF,1690259524
207,broken hill,-31.95,141.4333,15.06,43,0,3.48,AU,1690259477
208,fort st. john,56.2499,-120.8529,15.94,72,100,2.06,CA,1690259457
209,fish town,5.1964,-7.8756,22.23,98,100,0.96,LR,1690259527
210,quarai,-30.3875,-56.4514,11.64,95,99,5.68,BR,1690259030
211,kembe,4.6228,21.8865,21.6,96,99,0.88,CF,1690259528
212,doka,13.5167,35.7667,23.9,80,100,4.82,SD,1690258994
213,kiunga,-6.1219,141.2906,27.46,65,93,2.11,PG,1690259453
214,igarka,67.4667,86.5833,22.02,56,4,2.75,RU,1690258988
215,zaragoza,41.6561,-0.8773,18.25,59,0,8.23,ES,1690259528
216,aripuana,-9.1667,-60.6333,22.16,53,6,0.81,BR,1690259002
217,guines,50.8671,1.8703,14.4,82,100,3.5,FR,1690259529
218,port mathurin,-19.6833,63.4167,23.69,75,79,9.47,MU,1690259529
219,namibe,-15.1961,12.1522,15.9,88,58,2.67,AO,1690258954
220,ketchikan,55.3422,-131.6461,17.26,72,75,6.17,US,1690258975
221,san juan de miraflores,-12.1629,-76.9635,19.29,82,72,3.59,PE,1690259530
222,bayanaul,50.7889,75.6956,24.43,34,100,2.32,KZ,1690259530
223,sitka,57.0531,-135.33,16.94,72,0,7.72,US,1690259013
224,nago,26.5881,127.9761,32.47,75,50,6.79,JP,1690259473
225,masumbwe,-3.6333,32.1833,19.81,48,27,1.84,TZ,1690259530
226,bodo,67.28,14.405,15.43,93,100,3.09,NO,1690259531
227,luderitz,-26.6481,15.1594,11.46,80,60,1.59,NA,1690258988
228,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1690259020
229,san borja,-14.8167,-66.85,21.46,73,1,1.05,BO,1690259531
230,cabo san lucas,22.8909,-109.9124,30.9,75,19,2.68,MX,1690258977
231,kununurra,-15.7667,128.7333,21.99,23,9,5.66,AU,1690259268
232,pasuquin,18.3328,120.6177,24.97,100,100,5.14,PH,1690259532
233,pyhajarvi,67.0701,27.2176,12.26,88,95,2.63,FI,1690259532
234,lebu,-37.6167,-73.65,12.34,90,100,6.12,CL,1690258947
235,san antonio de pale,-1.4014,5.6325,22.56,82,18,2.02,GQ,1690259498
236,divnomorskoye,44.5011,38.1353,24.0,65,0,0.57,RU,1690259533
237,naushahra virkan,31.9628,73.9723,30.73,69,72,4.34,PK,1690259533
238,saudarkrokur,65.7461,-19.6394,9.35,94,100,1.91,IS,1690259424
239,broome,42.2506,-75.833,18.59,89,75,3.09,US,1690259050
240,uturoa,-16.7333,-151.4333,26.74,84,11,6.09,PF,1690258984
241,west end,26.6833,-78.9667,27.99,73,1,2.54,BS,1690259534
242,monrovia,6.3005,-10.7969,24.9,86,100,3.53,LR,1690259534
243,tual,-5.6667,132.75,24.7,77,87,10.31,ID,1690259534
244,lata,40.1629,-8.3327,14.49,98,39,0.66,PT,1690259474
245,sinabang,2.4803,96.3801,29.43,68,49,0.75,ID,1690258945
246,kirensk,57.7853,108.1119,28.52,46,97,1.05,RU,1690259027
247,shalya,57.2471,58.7298,14.55,89,85,3.05,RU,1690259535
248,taro,-8.3862,115.28,24.0,56,9,1.67,ID,1690259029
249,fortaleza,-3.7227,-38.5247,27.07,78,75,4.63,BR,1690259400
